AIRLINE;TRIP;ROU;TYP;PAX;ST;SCHENGEN;AT;BT;POS;BELT;BOUND;HANDLING_TYPE;SIKA;BELT_FIRST;BELT_LAST;EG;LG;DAUER_AUSGABE;STOERGRUND_GD
4U;2074;LEJ;319;62;02.02.2016 06:55;1;02.02.2016 06:59;02.02.2016 06:51;46;;0;J;144;;;;;;
4U;2682;SKG;319;129;02.02.2016 07:00;1;02.02.2016 07:17;02.02.2016 07:11;50;;0;J;144;;;;;;
TK;1710;IST;320;86;02.02.2016 07:00;0;02.02.2016 07:10;02.02.2016 06:56;9;;0;J;150;;;;;;
FX;8011;FRA;AT7;0;02.02.2016 07:00;1;02.02.2016 06:55;02.02.2016 07:02;203;;1;P;0;;;;;;
LH;127;FRA;733;61;02.02.2016 07:00;1;02.02.2016 07:03;02.02.2016 06:52;11;;0;J;139;;;;;;
AB;6610;HAJ;DH4;65;02.02.2016 07:05;1;02.02.2016 08:30;02.02.2016 08:27;63D;;0;J;76;;;;;;
4U;2462;LHR;319;72;02.02.2016 07:10;0;02.02.2016 07:20;02.02.2016 07:11;41;;0;J;150;;;;;;
AB;6532;TXL;320;114;02.02.2016 07:20;1;02.02.2016 07:27;02.02.2016 07:15;16;;0;J;180;;;;;;
FHY;534;AYT;320;63;02.02.2016 07:25;0;02.02.2016 07:32;02.02.2016 07:15;17;;0;C;180;;;;;;
TJT;41;LYS;BEH;15;02.02.2016 07:35;1;02.02.2016 07:25;02.02.2016 07:29;62D;40;1;J;19;02.02.2016 07:32;02.02.2016 07:32;3;3;0;
AB;6531;TXL;320;126;02.02.2016 07:35;1;02.02.2016 07:21;02.02.2016 07:24;14;31;1;J;180;02.02.2016 07:35;02.02.2016 07:37;11;12;1;
AB;6651;HAM;73W;129;02.02.2016 07:45;1;02.02.2016 07:42;02.02.2016 07:47;24;30;1;J;144;02.02.2016 07:56;02.02.2016 07:57;10;11;1;
OS;180;VIE;319;71;02.02.2016 07:50;1;02.02.2016 07:58;02.02.2016 07:47;30;;0;J;138;;;;;;
LX;1164;ZRH;AR1;11;02.02.2016 07:50;1;02.02.2016 07:34;02.02.2016 07:39;45;32;1;J;97;02.02.2016 07:42;02.02.2016 07:42;3;4;1;
OS;241;GRZ;DH4;65;02.02.2016 07:55;1;02.02.2016 07:55;02.02.2016 08:00;61D;32;1;J;76;02.02.2016 08:10;02.02.2016 08:11;10;11;1;
4U;8000;TXL;319;80;02.02.2016 07:55;1;02.02.2016 07:41;02.02.2016 07:46;10;11;1;J;144;02.02.2016 07:52;02.02.2016 07:52;6;7;1;
AB;6832;DUS;DH4;76;02.02.2016 07:55;1;02.02.2016 08:35;02.02.2016 08:39;63D;30;1;J;76;02.02.2016 08:49;02.02.2016 08:49;10;10;0;
4U;7046;HAM;319;84;02.02.2016 07:55;1;02.02.2016 07:45;02.02.2016 07:48;12;11;1;J;150;02.02.2016 07:54;02.02.2016 07:55;6;7;1;
FHY;401;ADB;320;128;02.02.2016 08:00;0;02.02.2016 07:51;02.02.2016 07:58;51;31;1;C;180;02.02.2016 08:09;02.02.2016 08:19;12;21;9;
TJT;42;LYS;BEH;4;02.02.2016 08:05;1;02.02.2016 08:01;02.02.2016 07:56;62D;;0;J;19;;;;;;
LH;126;FRA;319;41;02.02.2016 08:15;1;02.02.2016 08:09;02.02.2016 08:12;11;10;1;J;138;02.02.2016 08:21;02.02.2016 08:23;9;11;2;
AB;6534;TXL;320;100;02.02.2016 08:20;1;02.02.2016 08:29;02.02.2016 08:17;14;;0;J;180;;;;;;
LX;1165;ZRH;AR1;45;02.02.2016 08:20;1;02.02.2016 08:17;02.02.2016 08:12;45;;0;J;97;;;;;;
IS;501;FMO;J32;7;02.02.2016 08:20;1;02.02.2016 08:11;02.02.2016 08:14;64D;11;1;J;19;02.02.2016 08:21;02.02.2016 08:22;7;7;0;
AB;6652;HAM;73W;137;02.02.2016 08:25;1;02.02.2016 08:27;02.02.2016 08:16;24;;0;J;144;;;;;;
AB;6835;DUS;DH4;53;02.02.2016 08:25;1;02.02.2016 09:18;02.02.2016 09:13;63D;;0;J;76;;;;;;
DE;1452;ACE FUE;320;179;02.02.2016 08:30;1;02.02.2016 08:56;02.02.2016 08:45;55;;0;J;180;;;;;;
4U;8001;TXL;319;73;02.02.2016 08:30;1;02.02.2016 08:37;02.02.2016 08:25;10;;0;J;144;;;;;;
OS;242;GRZ;DH4;39;02.02.2016 08:30;1;02.02.2016 08:39;02.02.2016 08:32;61D;;0;J;76;;;;;;
4U;7047;HAM;319;53;02.02.2016 08:30;1;02.02.2016 08:32;02.02.2016 08:21;12;;0;J;150;;;;;;
DL;116;ATL;76W;124;02.02.2016 08:35;0;02.02.2016 07:47;02.02.2016 07:50;9;10;1;J;225;02.02.2016 07:59;02.02.2016 08:10;9;20;11;
XQ;150;AYT;73H;146;02.02.2016 08:35;0;02.02.2016 08:45;02.02.2016 08:51;17;32;1;C;189;02.02.2016 08:59;02.02.2016 09:12;8;22;14;
OS;177;VIE;100;72;02.02.2016 08:35;1;02.02.2016 08:23;02.02.2016 08:27;25;30;1;J;100;02.02.2016 08:36;02.02.2016 08:37;9;10;1;
4U;8010;TXL;319;74;02.02.2016 08:45;1;02.02.2016 08:33;02.02.2016 08:37;12;11;1;J;144;02.02.2016 08:43;02.02.2016 08:43;6;7;1;
LH;131;FRA;319;44;02.02.2016 08:50;1;02.02.2016 08:59;02.02.2016 08:44;11;;0;J;138;;;;;;
IS;502;FMO;J32;9;02.02.2016 08:50;1;02.02.2016 09:09;02.02.2016 09:04;64D;;0;J;19;;;;;;
FHY;402;HAJ ADB;320;133;02.02.2016 08:50;0;02.02.2016 08:48;02.02.2016 08:40;51;;0;C;180;;;;;;
LH;2144;MUC;CR9;58;02.02.2016 09:05;1;02.02.2016 08:55;02.02.2016 08:59;45;11;1;J;90;02.02.2016 09:08;02.02.2016 09:10;10;11;1;
4U;2031;BRE;319;127;02.02.2016 09:05;1;02.02.2016 08:46;02.02.2016 08:50;56;10;1;J;144;02.02.2016 08:59;02.02.2016 09:01;8;11;3;
4U;2025;DRS;319;46;02.02.2016 09:15;1;02.02.2016 09:06;02.02.2016 09:10;41;10;1;J;144;02.02.2016 09:16;02.02.2016 09:17;7;7;0;
4U;2053;HAJ;319;105;02.02.2016 09:15;1;02.02.2016 09:04;02.02.2016 09:07;50;11;1;J;150;02.02.2016 09:14;02.02.2016 09:15;8;8;0;
4U;8011;TXL;319;55;02.02.2016 09:25;1;02.02.2016 09:22;02.02.2016 09:12;12;;0;J;144;;;;;;
AB;6834;DUS;DH4;76;02.02.2016 09:30;1;02.02.2016 09:30;02.02.2016 09:33;62D;32;1;J;76;02.02.2016 10:33;02.02.2016 10:33;60;60;0;
4U;2075;LEJ;319;33;02.02.2016 09:30;1;02.02.2016 09:16;02.02.2016 09:22;40;11;1;J;144;02.02.2016 09:31;02.02.2016 09:32;9;10;1;
XQ;151;DRS AYT;73H;112;02.02.2016 09:35;0;02.02.2016 10:19;02.02.2016 10:06;17;;0;C;189;;;;;;
SK;657;CPH;CR9;46;02.02.2016 09:35;1;02.02.2016 09:39;02.02.2016 09:44;46;31;1;J;88;02.02.2016 10:33;02.02.2016 10:33;50;50;0;
AB;6535;TXL;320;138;02.02.2016 09:35;1;02.02.2016 10:20;02.02.2016 10:24;53;32;1;J;180;02.02.2016 10:40;02.02.2016 10:47;17;23;6;
LH;2145;MUC;CR9;77;02.02.2016 09:40;1;02.02.2016 09:49;02.02.2016 09:40;45;;0;J;90;;;;;;
4U;2161;BRU;319;63;02.02.2016 09:40;1;02.02.2016 09:20;02.02.2016 09:23;51;40;1;J;144;02.02.2016 10:11;02.02.2016 10:12;48;49;1;
4U;2015;TXL;319;108;02.02.2016 09:45;1;02.02.2016 09:27;02.02.2016 09:30;19;11;1;J;144;02.02.2016 11:44;02.02.2016 11:44;134;134;0;
4U;2013;SXF;319;;02.02.2016 09:45;1;;;CL;;1;J;144;;;;;;
4U;2045;HAM;320;114;02.02.2016 09:45;1;02.02.2016 09:46;02.02.2016 09:50;52;11;1;J;174;02.02.2016 11:43;02.02.2016 11:43;113;113;0;
